,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
0,#1 Best Public Elementary Schools in New Jersey,E,Princeton,A+Overall Niche Grade,K-8 ,Princeton Charter School,350 Students,1.0,10:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/princeton-charter-school-princeton-nj/
2,#2 Best Public Elementary Schools in New Jersey,E,Princeton Public Schools,A+Overall Niche Grade,"PK, K-5 ",Littlebrook Elementary School,324 Students,2.0,9:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/littlebrook-elementary-school-princeton-nj/
4,#3 Best Public Elementary Schools in New Jersey,E,Summit Public School District,A+Overall Niche Grade,1-5 ,Lincoln-Hubbard Elementary School,289 Students,3.0,11:1 Student-Teacher Ratio, NJ ,summit,Public School ,https://www.niche.com/k12/lincoln-hubbard-elementary-school-summit-nj/
14,,E,,,,,,,,,,,
16,#7 Best Public Elementary Schools in New Jersey,E,Saddle River,A+Overall Niche Grade,"PK, K-5 ",Wandell School,149 Students,8.0,8:1 Student-Teacher Ratio, NJ ,saddle-river,Public School ,https://www.niche.com/k12/wandell-school-saddle-river-nj/
18,#8 Best Public Elementary Schools in New Jersey,E,Millburn Township School District,A+Overall Niche Grade,K-5 ,Wyoming Elementary School,376 Students,9.0,12:1 Student-Teacher Ratio, NJ ,millburn,Public School ,https://www.niche.com/k12/wyoming-elementary-school-millburn-nj/
20,#9 Best Public Elementary Schools in New Jersey,E,Bernards Township School District,A+Overall Niche Grade,"PK, K-5 ",Mount Prospect Elementary School,568 Students,10.0,9:1 Student-Teacher Ratio, NJ ,basking-ridge,Public School ,https://www.niche.com/k12/mount-prospect-elementary-school-basking-ridge-nj/
23,,E,,,,Essex Fells School,,,,,essex-fells,,https://www.niche.com/k12/essex-fells-school-essex-fells-nj/
25,#11 Best Public Elementary Schools in New Jersey,E,Summit Public School District,A+Overall Niche Grade,1-5 ,Franklin Elementary School,369 Students,11.0,14:1 Student-Teacher Ratio, NJ ,summit,Public School ,https://www.niche.com/k12/franklin-elementary-school-summit-nj/
27,#12 Best Public Elementary Schools in New Jersey,E,Mountain Lakes School District,A+Overall Niche Grade,K-5 ,Wildwood Elementary School,434 Students,12.0,11:1 Student-Teacher Ratio, NJ ,mountain-lakes,Public School ,https://www.niche.com/k12/wildwood-elementary-school-mountain-lakes-nj/
31,#13 Best Public Elementary Schools in New Jersey,E,Livingston Board of Education School District,A+Overall Niche Grade,K-5 ,Harrison Elementary School,451 Students,13.0,12:1 Student-Teacher Ratio, NJ ,livingston,Public School ,https://www.niche.com/k12/harrison-elementary-school-livingston-nj/
33,,E,,,,Alpine Elementary School,,,,,alpine,,https://www.niche.com/k12/alpine-elementary-school-alpine-nj/
35,#15 Best Public Elementary Schools in New Jersey,E,Princeton Public Schools,A+Overall Niche Grade,"PK, K-5 ",Riverside Elementary School,279 Students,14.0,8:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/riverside-elementary-school-princeton-nj/
37,#16 Best Public Elementary Schools in New Jersey,E,Princeton Public Schools,A+Overall Niche Grade,"PK, K-5 ",Johnson Park Elementary School,335 Students,15.0,8:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/johnson-park-elementary-school-princeton-nj/
39,#17 Best Public Elementary Schools in New Jersey,E,Livingston Board of Education School District,A+Overall Niche Grade,K-5 ,Riker Hill Elementary School,382 Students,16.0,15:1 Student-Teacher Ratio, NJ ,livingston,Public School ,https://www.niche.com/k12/riker-hill-elementary-school-livingston-nj/
43,#18 Best Public Elementary Schools in New Jersey,E,Summit Public School District,A+Overall Niche Grade,1-5 ,Washington Elementary School,363 Students,17.0,13:1 Student-Teacher Ratio, NJ ,summit,Public School ,https://www.niche.com/k12/washington-elementary-school-summit-nj/
45,#19 Best Public Elementary Schools in New Jersey,E,Millburn Township School District,A+Overall Niche Grade,"PK, K-5 ",South Mountain School,354 Students,18.0,12:1 Student-Teacher Ratio, NJ ,millburn,Public School ,https://www.niche.com/k12/south-mountain-school-millburn-nj/
47,#20 Best Public Elementary Schools in New Jersey,E,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,"PK, 4-5 ",Village Elementary School,733 Students,19.0,12:1 Student-Teacher Ratio, NJ ,west-windsor,Public School ,https://www.niche.com/k12/village-elementary-school-west-windsor-nj/
49,#21 Best Public Elementary Schools in New Jersey,E,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,K-3 ,Dutch Neck Elementary School,701 Students,20.0,15:1 Student-Teacher Ratio, NJ ,west-windsor,Public School ,https://www.niche.com/k12/dutch-neck-elementary-school-west-windsor-nj/
51,#22 Best Public Elementary Schools in New Jersey,E,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,3-5 ,Millstone River School,"1,020 Students",21.0,12:1 Student-Teacher Ratio, NJ ,plainsboro,Public School ,https://www.niche.com/k12/millstone-river-school-plainsboro-nj/
54,#23 Best Public Elementary Schools in New Jersey,E,Ridgewood Public School District,A+Overall Niche Grade,K-5 ,Travell Elementary School,369 Students,22.0,13:1 Student-Teacher Ratio, NJ ,ridgewood,Public School ,https://www.niche.com/k12/travell-elementary-school-ridgewood-nj/
56,#24 Best Public Elementary Schools in New Jersey,E,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,K-3 ,Maurice Hawk Elementary School,710 Students,23.0,15:1 Student-Teacher Ratio, NJ ,west-windsor,Public School ,https://www.niche.com/k12/maurice-hawk-elementary-school-west-windsor-nj/
58,#25 Best Public Elementary Schools in New Jersey,E,New Vernon,A+Overall Niche Grade,"PK, K-8 ",Harding Township School,314 Students,24.0,9:1 Student-Teacher Ratio, NJ ,new-vernon,Public School ,https://www.niche.com/k12/harding-township-school-new-vernon-nj/
64,,E,,,,Roosevelt Public School,,,,,roosevelt,,https://www.niche.com/k12/roosevelt-public-school-roosevelt-nj/
82,,E,,,,Sea Girt Elementary School,,,,,sea-girt,,https://www.niche.com/k12/sea-girt-elementary-school-sea-girt-nj/
89,#36 Best Public Elementary Schools in New Jersey,E,Spring Lake,A+Overall Niche Grade,"PK, K-8 ",H.W. Mountz Elementary School,196 Students,36.0,8:1 Student-Teacher Ratio, NJ ,spring-lake,Public School ,https://www.niche.com/k12/hw-mountz-elementary-school-spring-lake-nj/
91,#37 Best Public Elementary Schools in New Jersey,E,Fair Lawn School District,A+Overall Niche Grade,K-5 ,Henry B. Milnes Elementary School,478 Students,37.0,14:1 Student-Teacher Ratio, NJ ,fair-lawn,Public School ,https://www.niche.com/k12/henry-b-milnes-elementary-school-fair-lawn-nj/
95,#38 Best Public Elementary Schools in New Jersey,E,Tenafly Public School District,A+Overall Niche Grade,K-5 ,Ralph S. Maugham Elementary School,388 Students,38.0,13:1 Student-Teacher Ratio, NJ ,tenafly,Public School ,https://www.niche.com/k12/ralph-s-maugham-elementary-school-tenafly-nj/
97,#39 Best Public Elementary Schools in New Jersey,E,Tenafly Public School District,A+Overall Niche Grade,K-5 ,J. Spencer Smith Elementary School,362 Students,39.0,13:1 Student-Teacher Ratio, NJ ,tenafly,Public School ,https://www.niche.com/k12/j-spencer-smith-elementary-school-tenafly-nj/
99,#40 Best Public Elementary Schools in New Jersey,E,Ridgewood Public School District,A+Overall Niche Grade,K-5 ,Somerville Elementary School,417 Students,40.0,14:1 Student-Teacher Ratio, NJ ,ridgewood,Public School ,https://www.niche.com/k12/somerville-elementary-school-ridgewood-nj/
101,#41 Best Public Elementary Schools in New Jersey,E,Tenafly Public School District,A+Overall Niche Grade,"PK, K-5 ",Walter Stillman Elementary School,349 Students,41.0,12:1 Student-Teacher Ratio, NJ ,tenafly,Public School ,https://www.niche.com/k12/walter-stillman-elementary-school-tenafly-nj/
103,#42 Best Public Elementary Schools in New Jersey,E,Cranbury,A+Overall Niche Grade,"PK, K-8 ",The Cranbury School,462 Students,42.0,8:1 Student-Teacher Ratio, NJ ,cranbury,Public School ,https://www.niche.com/k12/the-cranbury-school-cranbury-nj/
107,#43 Best Public Elementary Schools in New Jersey,E,Tenafly Public School District,A+Overall Niche Grade,K-5 ,Mackay School,391 Students,43.0,13:1 Student-Teacher Ratio, NJ ,tenafly,Public School ,https://www.niche.com/k12/mackay-school-tenafly-nj/
109,#44 Best Public Elementary Schools in New Jersey,E,Glen Ridge Public School District,A+Overall Niche Grade,3-6 ,Ridgewood Avenue School,588 Students,44.0,14:1 Student-Teacher Ratio, NJ ,glen-ridge,Public School ,https://www.niche.com/k12/ridgewood-avenue-school-glen-ridge-nj/
111,#45 Best Public Elementary Schools in New Jersey,E,Moorestown Township Public School District,A+Overall Niche Grade,"PK, K-3 ",George C. Baker Elementary School,370 Students,45.0,13:1 Student-Teacher Ratio, NJ ,moorestown,Public School ,https://www.niche.com/k12/george-c-baker-elementary-school-moorestown-nj/
113,#46 Best Public Elementary Schools in New Jersey,E,Livingston Board of Education School District,A+Overall Niche Grade,"PK, K-5 ",Burnet Hill Elementary School,394 Students,46.0,11:1 Student-Teacher Ratio, NJ ,livingston,Public School ,https://www.niche.com/k12/burnet-hill-elementary-school-livingston-nj/
115,#47 Best Public Elementary Schools in New Jersey,E,Upper Saddle River School District,A+Overall Niche Grade,3-5 ,Edith A. Bogert Elementary School,377 Students,47.0,10:1 Student-Teacher Ratio, NJ ,upper-saddle-river,Public School ,https://www.niche.com/k12/edith-a-bogert-elementary-school-upper-saddle-river-nj/
118,#48 Best Public Elementary Schools in New Jersey,E,Hillsborough Township Public School District,A+Overall Niche Grade,K-4 ,Sunnymead Elementary School,420 Students,48.0,11:1 Student-Teacher Ratio, NJ ,hillsborough,Public School ,https://www.niche.com/k12/sunnymead-elementary-school-hillsborough-nj/
120,#49 Best Public Elementary Schools in New Jersey,E,Livingston Board of Education School District,A+Overall Niche Grade,K-5 ,Collins Elementary School,452 Students,49.0,12:1 Student-Teacher Ratio, NJ ,livingston,Public School ,https://www.niche.com/k12/collins-elementary-school-livingston-nj/
122,#50 Best Public Elementary Schools in New Jersey,E,West Windsor-Plainsboro Regional School District,A+Overall Niche Grade,"PK, K-2 ",Town Center Elementary School at Plainsboro,514 Students,50.0,10:1 Student-Teacher Ratio, NJ ,at-plainsboro-plainsboro,Public School ,https://www.niche.com/k12/town-center-elementary-school-at-plainsboro-plainsboro-nj/
124,,E,ny,,,,,,,ny,,,https://www.niche.com/k12/friends-academy-locust-valley-ny/
170,,E,,,,Stone Harbor Elementary School,,,,,stone-harbor,,https://www.niche.com/k12/stone-harbor-elementary-school-stone-harbor-nj/
201,,E,,,,Ho-Ho-Kus Public School,,,,,ho--ho--kus,,https://www.niche.com/k12/ho-ho-kus-public-school-ho--ho--kus-nj/
224,,E,,,,Nathan Hale School,,,,,northvale,,https://www.niche.com/k12/nathan-hale-school-northvale-nj/
261,,E,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-of-saint-elizabeth-morristown-nj/
264,,E,,,,Haworth Public School,,,,,haworth,,https://www.niche.com/k12/haworth-public-school-haworth-nj/
281,#112 Best Public Elementary Schools in New Jersey,E,Harrington Park,AOverall Niche Grade,K-8 ,Harrington Park School,605 Students,115.0,11:1 Student-Teacher Ratio, NJ ,harrington-park,Public School ,https://www.niche.com/k12/harrington-park-school-harrington-park-nj/
285,#113 Best Public Elementary Schools in New Jersey,E,Moorestown Township Public School District,AOverall Niche Grade,"PK, K-3 ",South Valley Elementary School,365 Students,116.0,13:1 Student-Teacher Ratio, NJ ,moorestown,Public School ,https://www.niche.com/k12/south-valley-elementary-school-moorestown-nj/
287,#114 Best Public Elementary Schools in New Jersey,E,Glen Rock Board of Education,AOverall Niche Grade,K-5 ,The Central School,316 Students,117.0,14:1 Student-Teacher Ratio, NJ ,glen-rock,Public School ,https://www.niche.com/k12/the-central-school-glen-rock-nj/
289,#115 Best Public Elementary Schools in New Jersey,E,Edison Township School District,AOverall Niche Grade,K-5 ,John Marshall Elementary School,773 Students,118.0,15:1 Student-Teacher Ratio, NJ ,edison,Public School ,https://www.niche.com/k12/john-marshall-elementary-school-edison-nj/
291,#116 Best Public Elementary Schools in New Jersey,E,Holmdel Township School District,AOverall Niche Grade,"PK, K-3 ",Village School,817 Students,119.0,12:1 Student-Teacher Ratio, NJ ,holmdel,Public School ,https://www.niche.com/k12/village-school-holmdel-nj/
293,#117 Best Public Elementary Schools in New Jersey,E,Bridgewater-Raritan Regional School District,AOverall Niche Grade,K-4 ,Hamilton Primary School,489 Students,120.0,13:1 Student-Teacher Ratio, NJ ,basking-ridge,Public School ,https://www.niche.com/k12/hamilton-primary-school-basking-ridge-nj/
297,#118 Best Public Elementary Schools in New Jersey,E,West Orange Public Schools,AOverall Niche Grade,K-5 ,St. Cloud Elementary School,367 Students,121.0,12:1 Student-Teacher Ratio, NJ ,w-orange,Public School ,https://www.niche.com/k12/st-cloud-elementary-school-w-orange-nj/
